group, axis, value
Injuries,Nightclub,0
Injuries,Open Public Area  ,0
Injuries,Others,0
Injuries,Store/Mall,0
Injuries,Residential Area,0
Injuries,Places of Worship,0
Injuries,Restaurant,0
Injuries,School,55
Injuries,Workplace,0
Total Victims,Nightclub,0
Total Victims,Open Public Area  ,0
Total Victims,Others,0
Total Victims,Store/Mall,0
Total Victims,Residential Area,0
Total Victims,Places of Worship,0
Total Victims,Restaurant,0
Total Victims,School,90
Total Victims,Workplace,0
Fatalities,Nightclub,0
Fatalities,Open Public Area  ,0
Fatalities,Others,0
Fatalities,Store/Mall,0
Fatalities,Residential Area,0
Fatalities,Places of Worship,0
Fatalities,Restaurant,0
Fatalities,School,36.66666667
Fatalities,Workplace,0
